system_size,hilbert_space_size,U,optimized_overlap,baseline_overlap,overlap_ratio
"$3\times3,\;(3,2)$",336,10.75,0.9999929079278764,0.2571435820562048,3.8888503455213765
"$3\times3,\;(3,2)$",336,11.0,0.9999926351568831,0.25557216673494576,3.91276032884276
"$3\times3,\;(3,2)$",336,11.25,0.9999923729437408,0.25403786252821614,3.936391067818369
"$3\times3,\;(3,2)$",336,11.5,0.9999921197588358,0.25253991949899546,3.959738807799903
"$3\times3,\;(3,2)$",336,11.75,0.9999918322264587,0.251077560332958,3.982800497584704
"$3\times3,\;(3,2)$",336,12.0,0.99999167560167,0.24964998774186842,4.00557470339488
"$3\times3,\;(3,2)$",336,12.25,0.9999915766924704,0.24825639086243378,4.028059753944443
"$3\times3,\;(3,2)$",336,12.5,0.9999915837873625,0.24689595076544535,4.050255100122596
"$3\times3,\;(3,2)$",336,12.75,0.999991630488184,0.24556784517877417,4.072160301607024
"$3\times3,\;(3,2)$",336,13.0,0.9999915849371936,0.24427125251729098,4.09377515623296
"$3\times3,\;(3,2)$",336,13.25,0.9999914047875778,0.24300535530305656,4.1151002764546885
"$3\times3,\;(3,2)$",336,13.5,0.9999911340657467,0.24176934305022468,4.136137036439771
"$3\times3,\;(3,2)$",336,13.75,0.9999908220603007,0.2405624146809915,4.156887198635676
"$3\times3,\;(3,2)$",336,14.0,0.9999904933980137,0.23938378053152343,4.17735274786643
"$3\times3,\;(3,2)$",336,14.25,0.9999901637479477,0.23823266400016696,4.197535917019535
"$3\times3,\;(3,2)$",336,14.5,0.9999898392168272,0.23710830288423834,4.217439149336938
"$3\times3,\;(3,2)$",336,14.75,0.9999895172051642,0.23600995044630502,4.237065069985993
"$3\times3,\;(3,2)$",336,15.0,0.9999891960293664,0.23493687624607484,4.2564164979446195
"$4\times2,\;(3,3)$",392,0.5,0.9999999963977932,0.9993486430112875,1.0006517779266133
"$4\times2,\;(3,3)$",392,0.75,0.9999999618170666,0.9974496776968872,1.0025568047964766
"$4\times2,\;(3,3)$",392,1.0,0.9999999136694216,0.9943864569940897,1.005645145944868
"$4\times2,\;(3,3)$",392,1.25,0.9999998459732681,0.9902428556153992,1.0098531287577988
"$4\times2,\;(3,3)$",392,1.5,0.9999997402154752,0.9851027907035352,1.0151222285151593
"$4\times2,\;(3,3)$",392,1.75,0.9999995908543863,0.9790497489369543,1.0213981382868227
"$4\times2,\;(3,3)$",392,2.0,0.9999993987100324,0.9721663066849423,1.0286299698248134
"$4\times2,\;(3,3)$",392,2.25,0.9999991831198404,0.9645336431847453,1.036769624559692
"$4\times2,\;(3,3)$",392,2.5,0.9999989063276528,0.9562310555443085,1.045771208255133
"$4\times2,\;(3,3)$",392,2.75,0.9999985356682564,0.9473354891551256,1.0555907037327377
"$4\times2,\;(3,3)$",392,3.0,0.9999982253766726,0.9379210985849552,1.0661858730818332
"$4\times2,\;(3,3)$",392,3.25,0.9999977270542305,0.9280588530632812,1.0775154223824253
"$4\times2,\;(3,3)$",392,3.5,0.9999972031184651,0.9178161981075135,1.0895397195869982
"$4\times2,\;(3,3)$",392,3.75,0.999996422289095,0.9072567814025496,1.1022198376331527
"$4\times2,\;(3,3)$",392,4.0,0.9999953864504242,0.8964402473379233,1.1155181724827943
"$4\times2,\;(3,3)$",392,4.25,0.9999941820283019,0.8854221010676074,1.1293982619391902
"$4\times2,\;(3,3)$",392,4.5,0.9999928372509744,0.8742536398797806,1.1438246198076847
"$4\times2,\;(3,3)$",392,4.75,0.9999911684094098,0.8629819472082916,1.1587625577155316
"$4\times2,\;(3,3)$",392,5.0,0.9999891693798407,0.8516499428398,1.1741786373464762
"$4\times2,\;(3,3)$",392,5.25,0.9999867487124608,0.8402964817490987,1.1900403850685686
"$4\times2,\;(3,3)$",392,5.5,0.9999839111309216,0.8289564934579368,1.2063165184454439
"$4\times2,\;(3,3)$",392,5.75,0.9999807216535739,0.8176611537600823,1.2229769227204692
"$4\times2,\;(3,3)$",392,6.0,0.9999776852263516,0.8064380809776664,1.2399931362542451
"$4\times2,\;(3,3)$",392,6.25,0.9999750751272585,0.7953115495041427,1.2573375499836743
"$4\times2,\;(3,3)$",392,6.5,0.9999723411327603,0.7843027141513971,1.2749826350081095
"$4\times2,\;(3,3)$",392,6.75,0.999968935448268,0.773429839671779,1.2929019339008507
"$4\times2,\;(3,3)$",392,7.0,0.999964245156886,0.7627085307060163,1.3110699630319451
"$4\times2,\;(3,3)$",392,7.25,0.9999588056887314,0.7521519582670615,1.3294638067453954
"$4\times2,\;(3,3)$",392,7.5,0.9999529902326183,0.7417710796747546,1.3480614405607036
"$4\times2,\;(3,3)$",392,7.75,0.999946927433207,0.7315748495855273,1.366841585655556
"$4\times2,\;(3,3)$",392,8.0,0.9999411848526836,0.7215704204042189,1.3857846116980836
"$4\times2,\;(3,3)$",392,8.25,0.999935070711689,0.7117633309175677,1.4048701686031302
"$4\times2,\;(3,3)$",392,8.5,0.9999283273718379,0.7021576824529375,1.4240794516107265
"$4\times2,\;(3,3)$",392,8.75,0.9999213030659893,0.692756302246475,1.4433954621898601
"$4\times2,\;(3,3)$",392,9.0,0.9999149087520407,0.6835608940099097,1.4628029741232458
"$4\times2,\;(3,3)$",392,9.25,0.9999095056457129,0.674572175923101,1.482286909147138
"$4\times2,\;(3,3)$",392,9.5,0.9999028104305623,0.6657900064593644,1.5018291063694271
"$4\times2,\;(3,3)$",392,9.75,0.9998948086024078,0.6572134985812955,1.5214155076863862
"$4\times2,\;(3,3)$",392,10.0,0.9998859136208537,0.6488411229345958,1.5410335107900424
"$4\times2,\;(3,3)$",392,10.25,0.9998764191951325,0.6406708007237144,1.5606711248048957
"$4\times2,\;(3,3)$",392,10.5,0.9998664332228401,0.632699986982664,1.5803168228139008
"$4\times2,\;(3,3)$",392,10.75,0.9998560149194468,0.6249257449628458,1.599959711979688
"$4\times2,\;(3,3)$",392,11.0,0.9998451869976561,0.6173448123520213,1.6195895178714583
"$4\times2,\;(3,3)$",392,11.25,0.9998339694103506,0.6099536600188451,1.6391966061478502
"$4\times2,\;(3,3)$",392,11.5,0.9998223846418087,0.6027485439489149,1.6587719616732037
"$4\times2,\;(3,3)$",392,11.75,0.9998104619295768,0.5957255510039297,1.6783071671924672
"$4\times2,\;(3,3)$",392,12.0,0.9997982400646408,0.5888806390973801,1.6977943808733529
"$4\times2,\;(3,3)$",392,12.25,0.9997857787227648,0.582209672340047,1.7172263296560748
"$4\times2,\;(3,3)$",392,12.5,0.9997732263681818,0.5757084516676746,1.7365964030441174
"$4\times2,\;(3,3)$",392,12.75,0.9997619325659377,0.5693727414226534,1.7559005899507936
"$4\times2,\;(3,3)$",392,13.0,0.9997678455927173,0.5631982923219933,1.7751613583038481
"$4\times2,\;(3,3)$",392,13.25,0.9997646726949606,0.5571808612059664,1.7943270171395738
"$4\times2,\;(3,3)$",392,13.5,0.9997565925632098,0.5513162279257893,1.8133995371850065
"$4\times2,\;(3,3)$",392,13.75,0.9997523317692483,0.5456002096948898,1.8323899331496394
"$4\times2,\;(3,3)$",392,14.0,0.9997451632075669,0.5400286731967718,1.8512816315649352
"$4\times2,\;(3,3)$",392,14.25,0.9997345456100843,0.5345975447132759,1.8700694672031806
"$4\times2,\;(3,3)$",392,14.5,0.9997236571732367,0.529302818510128,1.8887555898289772
"$4\times2,\;(3,3)$",392,14.75,0.9997126657308119,0.5241405636920246,1.9073369530663244
"$4\times2,\;(3,3)$",392,15.0,0.9997016161535167,0.5191069297170025,1.9258105775981769
"$3\times3,\;(3,3)$",792,0.5,0.9999873924182774,0.16662159919744313,6.001547201772522
"$3\times3,\;(3,3)$",792,0.75,0.9999814186405417,0.16648581605475687,6.006406085138506
"$3\times3,\;(3,3)$",792,1.0,0.999974467584147,0.1662590828976277,6.014555416499386
"$3\times3,\;(3,3)$",792,1.25,0.9999672090888432,0.16594188722634273,6.026008416578389
"$3\times3,\;(3,3)$",792,1.5,0.9999560698706985,0.16553585073095245,6.0407220880263575
"$3\times3,\;(3,3)$",792,1.75,0.9999431291564661,0.16504320293965957,6.058675009609751
"$3\times3,\;(3,3)$",792,2.0,0.999936179009073,0.1644670026634112,6.079858955388671
"$3\times3,\;(3,3)$",792,2.25,0.999928391142964,0.1638110084075739,6.104158693993679
"$3\times3,\;(3,3)$",792,2.5,0.9999140908015147,0.16307959560380558,6.131448186999189
"$3\times3,\;(3,3)$",792,2.75,0.9999086707446476,0.1622776592497106,6.161714898820435
"$3\times3,\;(3,3)$",792,3.0,0.9998924102922452,0.16141051002729734,6.194716875147386
"$3\times3,\;(3,3)$",792,3.25,0.999870207608184,0.1604837685395184,6.230350998780107
"$3\times3,\;(3,3)$",792,3.5,0.9998590947260969,0.1595032583681838,6.268580999255244
"$3\times3,\;(3,3)$",792,3.75,0.9998479615724741,0.15847490482112425,6.309187960712359
"$3\times3,\;(3,3)$",792,4.0,0.9998294740796516,0.15740464020704814,6.351969502071147
"$3\times3,\;(3,3)$",792,4.25,0.9998031824443762,0.15629831870817523,6.396762234602854
"$3\times3,\;(3,3)$",792,4.5,0.999775463707596,0.1551616421218842,6.443444720198577
"$3\times3,\;(3,3)$",792,4.75,0.999746565830643,0.15400009737172404,6.491856712385472
"$3\times3,\;(3,3)$",792,5.0,0.9997207827807497,0.15281890655117403,6.541865828924617
"$3\times3,\;(3,3)$",792,5.25,0.9996943590946904,0.15162298698667598,6.593290232321697
